PULocationID,hour,count
162,3,281
247,5,52
43,7,1070
163,7,1576
179,8,152
79,10,2186
137,11,2089
39,11,147
61,13,321
155,14,72
114,15,2204
255,20,436
92,8,42
71,4,79
83,11,44
203,4,6
28,16,86
205,19,56
248,4,23
196,0,28
69,1,31
48,6,2411
33,8,293
135,9,33
86,10,39
140,13,5042
113,16,3215
181,16,157
230,19,8671
219,22,67
205,9,82
205,11,35
62,1,33
152,17,355
10,2,18
165,15,46
3,15,13
202,12,11
92,21,137
41,3,71
88,0,663
230,23,9358
17,1,106
17,2,53
188,4,109
34,5,136
162,12,7096
230,12,5671
229,14,3419
193,18,139
106,21,105
75,22,913
260,22,157
65,23,234
129,14,166
39,19,115
91,6,158
168,13,107
83,6,76
168,19,163
147,19,29
147,10,24
183,15,5
133,10,47
11,23,6
141,0,1439
148,23,4599
65,9,177
13,10,950
125,12,808
233,12,2771
247,13,68
224,15,334
265,16,93
24,17,738
48,21,8206
145,21,400
76,19,221
7,21,411
227,15,32
167,23,36
250,6,69
235,12,38
258,4,64
32,8,28
79,1,9228
112,2,256
113,4,365
45,4,74
114,9,781
4,10,311
24,10,669
239,16,6486
100,18,4291
162,19,10263
1,0,2
174,9,31
119,15,38
136,12,23
28,15,56
53,12,9
123,5,5
207,10,16
6,20,4
117,21,16
125,2,452
152,2,27
80,3,505
24,9,700
237,10,8774
80,12,58
211,13,1419
235,17,25
191,21,25
82,22,241
127,11,29
63,18,71
225,5,130
159,6,88
179,19,184
61,23,382
207,8,8
139,8,42
51,18,56
159,17,66
48,1,3032
145,5,180
114,8,738
150,11,10
246,13,3802
256,18,295
89,8,314
52,11,51
102,6,41
134,7,89
242,14,37
34,8,13
93,9,16
90,4,725
38,6,42
167,8,98
234,10,3571
42,10,375
107,11,3192
70,12,783
79,13,2676
231,16,3144
249,18,5461
134,18,85
68,19,8057
141,19,6121
69,9,100
177,16,97
215,17,57
196,1,10
40,6,57
37,14,119
190,8,13
147,15,28
64,14,6
124,18,27
22,8,68
32,10,23
89,10,168
140,14,5300
68,18,8538
237,21,9873
7,4,379
196,4,28
219,3,24
86,5,43
56,11,29
189,13,65
192,10,8
157,12,40
243,1,48
202,1,6
141,5,593
265,5,26
161,5,436
141,10,4750
117,10,48
140,12,5171
236,14,10721
97,16,227
113,20,4752
90,20,4832
170,21,6722
143,23,1176
260,6,143
60,11,22
91,14,123
62,21,85
18,16,30
242,4,17
208,10,22
12,19,30
22,9,58
123,20,28
238,0,718
142,23,5709
239,3,164
191,6,106
132,8,3885
244,8,401
133,9,66
88,10,291
25,11,153
238,12,4808
88,13,700
181,13,143
239,18,7678
146,6,157
136,8,53
160,17,33
225,19,238
22,6,42
149,10,20
38,16,13
198,14,57
135,22,42
248,20,34
87,2,273
237,2,315
249,3,2806
231,3,633
197,5,96
61,5,202
211,8,530
262,11,3458
112,14,75
226,14,336
186,15,6598
226,16,444
196,16,71
90,17,3727
62,17,92
140,18,5325
164,19,6911
66,3,24
119,14,27
77,10,67
76,16,206
212,7,90
53,23,40
157,0,38
70,2,62
12,7,4
227,7,39
65,10,137
50,14,1288
162,15,7576
88,15,785
246,17,7083
143,20,2088
249,22,9226
19,2,4
38,15,19
51,13,35
63,13,49
34,15,32
218,21,30
67,15,20
225,0,151
151,2,71
124,3,5
132,5,2506
62,6,79
75,7,1478
119,10,48
87,13,1106
10,15,103
244,17,421
261,18,1827
75,19,1772
80,19,236
95,3,30
241,7,50
179,13,120
167,5,52
117,5,41
71,6,144
86,7,57
196,12,48
208,0,14
217,8,35
69,16,84
136,20,25
201,20,8
86,9,44
250,1,19
212,8,103
192,13,8
225,18,202
212,18,37
118,5,1
123,0,22
217,0,29
164,3,924
143,5,337
114,7,410
13,8,940
41,8,1082
152,8,264
215,9,79
130,10,70
243,14,158
35,15,134
254,16,38
55,20,42
87,23,1505
93,0,18
169,10,46
124,7,33
3,13,11
123,18,37
226,2,89
226,3,122
145,4,291
229,5,427
93,5,30
90,7,1192
138,8,2526
248,9,76
170,11,5790
194,11,2
76,13,238
7,14,249
196,14,77
213,15,54
197,15,235
43,17,4009
85,20,87
100,21,3583
140,21,2516
229,23,2004
71,1,25
47,10,18
122,11,16
82,19,268
248,21,17
223,23,166
208,6,23
101,21,12
128,16,8
171,14,14
53,16,17
217,21,59
67,7,60
186,23,5293
132,3,827
238,4,256
237,7,4071
162,7,3171
148,7,508
116,7,533
137,8,1750
116,8,613
213,8,139
224,9,608
